"","X7502","X7504","X7506","X7507","X7508","X7509","X7510","X7511","X7513","X7514","X7515","X7516","X7519","X7521","X7522","X7523","X7524","X7526","X7527","X7528","X7529","X7530","X7532","X7533","X7551","X7702"
"7502",NA,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,1
"7504",0,NA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7506",0,0,NA,0,0,0,0,1,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"7507",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"7508",1,1,0,1,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7509",0,0,1,0,1,NA,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,NA,0,0,1
"7510",0,0,0,0,0,0,NA,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1
"7511",0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7513",1,0,0,1,0,0,1,1,NA,1,1,0,NA,NA,0,0,0,0,1,0,0,0,NA,0,1,0
"7514",0,0,0,0,0,0,0,0,1,NA,0,1,NA,NA,0,0,0,0,0,0,1,0,NA,0,0,0
"7515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7516",0,0,0,0,0,0,0,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"7519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7522",0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,1,0,0,0,0,0,0,NA,0,0,0
"7523",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"7524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"7527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7528",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"7529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"7551",1,1,0,0,0,1,1,0,1,1,1,1,NA,NA,1,1,1,0,NA,0,0,1,NA,0,NA,1
"7702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
