"","X4101","X4102","X4103","X4104","X4105","X4106","X4107","X4108","X4109","X4110","X4111","X4112","X4113","X4114","X4115","X4116","X4117"
"4101",NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4102",0,NA,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"4103",0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"4104",0,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,0
"4105",0,0,0,1,NA,0,0,0,0,0,0,1,0,0,0,0,0
"4106",0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0
"4107",0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,1,0,1
"4108",0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0
"4109",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"4110",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"4111",1,0,0,1,0,0,0,0,0,0,NA,1,0,1,1,0,1
"4112",0,0,0,0,1,1,1,1,0,0,1,NA,0,0,0,0,0
"4113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4114",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"4115",0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,0,0
"4116",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0
"4117",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,NA
