"","X2201","X2202","X2203","X2207","X2208","X2209","X2210","X2211","X2213","X2215","X2216","X2217","X2218","X2219","X2220","X2221","X2223","X2224","X2227","X2261","X2262","X2263","X2304","X2415","X2421"
"2201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202",0,NA,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,0
"2203",1,0,NA,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,NA,0,NA,0,0,0
"2207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2208",0,0,0,1,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0
"2209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2211",1,NA,0,0,1,0,0,NA,1,1,NA,1,0,1,1,1,0,0,0,NA,NA,NA,NA,1,0
"2213",0,0,0,0,0,0,0,1,NA,1,0,1,1,0,0,1,0,0,0,0,0,NA,0,0,0
"2215",1,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2217",1,1,1,0,0,0,0,0,1,1,0,NA,1,1,1,1,0,0,0,NA,0,NA,0,0,0
"2218",1,0,0,0,0,0,0,1,1,1,0,1,NA,1,1,0,0,0,0,0,0,0,0,0,0
"2219",1,1,0,0,0,0,0,0,1,1,0,1,1,NA,1,0,0,0,0,0,0,0,0,0,0
"2220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2223",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0
"2224",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,1,0
"2227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0
"2261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2415",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0
"2421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
