"","X5201","X5202","X5203","X5204","X5206","X5207","X5208","X5209","X5210","X5211","X5212","X5213","X5214","X5215","X5216","X5217","X5218","X5219","X5220","X5221","X5222","X5223","X5224","X5225"
"5201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5202",1,NA,NA,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,1
"5203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5204",0,0,NA,NA,0,NA,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0
"5206",0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
"5207",0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0
"5208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5209",0,0,NA,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5211",0,0,NA,1,0,0,1,1,1,NA,1,0,1,0,0,0,1,1,1,1,1,1,1,1
"5212",1,0,NA,0,1,0,1,1,1,1,NA,0,1,0,0,0,1,1,1,1,1,1,1,NA
"5213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5214",0,0,NA,0,0,0,1,1,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0
"5215",0,1,NA,1,0,0,1,0,1,1,1,0,0,NA,1,0,1,1,1,1,1,0,1,0
"5216",0,1,NA,0,0,1,0,1,0,0,0,0,1,0,NA,0,0,0,0,1,1,0,0,0
"5217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
"5218",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1,1,0,0,0
"5219",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"5220",0,0,NA,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,NA,1,1,0,0,0
"5221",0,1,NA,0,1,NA,NA,NA,1,NA,NA,0,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA
"5222",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"5223",1,1,NA,0,0,0,1,1,NA,1,1,1,1,0,1,1,0,0,0,1,0,NA,1,1
"5224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5225",1,1,NA,0,NA,NA,1,NA,NA,1,1,1,0,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA
