"","X7206","X7207","X7213","X7216","X7219","X7302","X7305","X7307","X7308","X7309","X7310","X7312","X7314","X7315","X7316","X7317","X7318","X7319","X7320","X7323","X7325","X7351","X7353","X7360","X7362","X7363","X7364","X7365"
"7206",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"7207",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"7213",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7216",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"7219",0,0,0,0,NA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7302",0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7305",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7307",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7308",0,0,1,0,0,0,0,0,NA,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"7309",0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7310",1,0,0,0,0,1,0,0,1,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7312",1,0,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7315",0,0,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7316",0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0
"7317",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1
"7318",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,1,1,0,1,0,0,0,0
"7319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7320",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"7323",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0
"7325",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,1,0,0,1
"7351",0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"7353",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1
"7360",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,1
"7362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7363",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,NA,0,0
"7364",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"7365",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
