"","X7206","X7207","X7213","X7216","X7219","X7308","X7309","X7312","X7315","X7317","X7319","X7320","X7323","X7325","X7351","X7360","X7363","X7364","X7365","X7370","X7372","X7373","X7374","X7375"
"7206",NA,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"7207",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7213",1,0,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"7216",0,0,0,NA,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
"7219",0,1,0,0,NA,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"7308",0,0,0,0,0,NA,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"7309",1,1,1,0,1,0,NA,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
"7312",0,0,0,0,0,0,0,NA,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
"7315",0,0,0,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"7317",1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"7319",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"7320",0,0,0,0,0,0,0,1,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"7323",0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0
"7325",0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0
"7351",0,0,0,0,0,0,1,1,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0
"7360",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0
"7363",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0
"7364",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"7365",0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,NA,1,0,0,0,1
"7370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"7372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"7374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
