"","X4313","X5303","X5503","X5504","X5505","X5508","X5509","X5511","X5512","X5513","X5514","X5516","X5517","X5519","X5523","X5526","X5527","X5532","X5533","X5535","X5546","X5547","X5549","X5560","X5562","X5565","X5570","X5571"
"4313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5303",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"5503",0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5504",0,0,1,NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"5505",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5508",0,0,0,0,1,NA,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"5509",0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5511",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5512",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5513",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"5514",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5516",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5517",1,1,0,0,1,1,1,1,0,1,1,1,NA,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1
"5519",0,0,1,1,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"5523",1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"5526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"5527",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,1,0,0,0,0,1
"5532",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0
"5533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"5535",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,NA,0,0,1,0,0,0,0,1
"5546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0
"5547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"5549",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,1
"5560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,0,0,0,0
"5562",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"5565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"5570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5571",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,NA
