,"nom.famille","QtG","NewsChannels","RadioTV","Specialized","Interv_Committee","Presence_Committee","Submitted_Amdts","Reports","WrittenQ","Rooms","twitt_flwrs","NationPress","LocPress","OfficialFunctions","Interv_Plenary","NbVotes","Gender","Age","PolGroup","Career","Education"
"368","Sarnez (de)","0.502901935763704",1,1,0,"5.02082205810667","2.55902201921157",4,1,44,6,"18200.00",69,97,0,54,104,"F",66,"MODEM","4 - Entourage","BA_or_less"
"369","Karamanli","-0.377027809400244",1,0,3,"0.423182070869271","0.0225756346781485",453,0,46,6,"2804.00000000001",8,14,0,187,159,"F",53,"NG","5 - Incumbent","AboveMaster"
"370","Brenier","-0.666902997868626",0,0,0,"-0.545499999259543","-1.69750714678063",138,0,11,1,"10300.00",16,2,0,25,43,"F",31,"LC","5 - Incumbent","Master"
"371","Le Pen","-0.3659625273557",24,28,2,"-0.272116817176876","-0.82906617075352",131,0,16,98,"2130000.00000007",607,701,0,216,136,"F",49,"NI","5 - Incumbent","Master"
"372","Lenne","-0.66408821840219",0,0,0,"-0.343258468726386","0.0179558767377536",4,1,10,1,"1952.00",0,0,0,9,458,"F",43,"LREM","6 - PolExp","AboveMaster"
"373","Meynier-Millefert","-0.66408821840219",0,0,0,"-0.436927212444188","-1.21035058678539",25,0,3,8,"2184.99999999999",0,0,0,11,218,"F",35,"LREM","6 - PolExp","Master"
"374","Saddier","-0.886681434341368",0,0,0,"0.368694156713139","-0.35094305754855",339,0,79,0,"3189.00",5,10,0,130,96,"M",48,"LR","5 - Incumbent","BA_or_less"
"375","Leguille-Balloy","-0.66408821840219",0,0,0,"-0.30057347779668","-0.427845200889232",20,0,1,3,"1314.00000000001",1,21,0,33,203,"F",60,"LREM","6 - PolExp","AboveMaster"
"376","Wonner","-0.66408821840219",0,0,0,"-0.229925953130199","0.415253786832918",56,0,16,7,"3685.00000000001",15,4,0,80,388,"F",53,"LREM","1 - Novices","AboveMaster"
"377","Panot","0.242535625036333",6,2,3,"0.265219852417703","-0.907030282348861",210,0,28,1,"15200.00",22,16,0,275,300,"F",28,"LFI","6 - PolExp","AboveMaster"
"378","Orphelin","0.769426349597021",4,5,2,"0.435213352331634","1.36787200092514",145,0,27,31,"19000.00",121,198,0,108,312,"M",45,"LREM","1 - 2ndCareer","AboveMaster"
"379","Petit","1.3006084545613",0,0,0,"-0.223570864734057","0.510962973430364",11,0,8,1,"2063.99999999999",2,5,0,33,290,"F",46,"MODEM","6 - PolExp","NoInfo"
"380","Leroy","-0.142907785257563",2,0,1,"-0.0871485231481498","-0.338684985363835",10,2,65,0,"8488.99999999997",15,197,1,14,35,"M",58,"LC","5 - Incumbent","Master"
"381","Mathiasin","-1.0925111018315",0,0,0,"-0.512841886601551","-1.34477674567142",57,0,21,4,"773.000000000002",3,3,0,24,93,"M",61,"MODEM","1 - LocalRoots","NoInfo"
"382","Minot","0.132492628119974",0,0,0,"-0.36862924563853","-0.0982921139728639",35,1,18,3,"2160.00000000001",9,17,0,57,413,"M",30,"LR","4 - Entourage","NoInfo"
"383","Habib","0.905082639964564",2,0,0,"-0.115605183767954","-1.05196670956701",25,0,8,1,"9389.00000000001",14,4,0,130,82,"M",56,"LC","5 - Incumbent","BA_or_less"
"384","Castellani","-0.3659625273557",0,1,0,"0.344929253642026","-0.104488523969607",456,0,24,2,"5322.99999999998",17,5,0,302,190,"M",72,"NI","1 - LocalRoots","AboveMaster"
"385","Delpon","0.769426349597021",0,0,0,"-0.563452586495987","0.176563455630556",30,0,10,0,"1023.00",2,119,0,20,177,"M",68,"LREM","6 - PolExp","NoInfo"
"386","Fanget","0.502901935763704",0,0,0,"-0.0729201928382478","0.240856415551247",0,2,4,1,"609.000000000002",6,5,0,14,45,"M",67,"MODEM","5 - Incumbent","AboveMaster"
"387","Herbillon","0.132492628119974",0,0,0,"0.282788064909302","-0.204944662075739",7,0,9,3,"0.00",5,21,0,21,57,"M",66,"LR","5 - Incumbent","AboveMaster"
"388","Larive","-0.346479464337618",0,0,1,"1.82796909377206","-0.15367894010043",166,1,31,18,"7538.99999999998",11,11,0,124,231,"M",51,"LFI","1 - 2ndCareer","NoInfo"
"389","Lauzzana","-0.66408821840219",0,0,0,"-0.334983925047313","0.877613911624552",1,2,13,4,"2294.00000000001",2,94,0,9,199,"M",60,"LREM","1 - LocalRoots","AboveMaster"
"390","Vialay","-0.886681434341368",0,0,0,"-0.533010495004236","-1.86754457973122",14,1,4,4,"982.999999999996",1,38,0,20,89,"M",57,"LR","1 - LocalRoots","BA_or_less"
"391","Zumkeller","-1.71489342309075",0,0,0,"-0.367500219439103","-1.29979216659439",41,2,47,2,"2703.00000000002",8,64,0,102,67,"M",51,"LC","5 - Incumbent","BA_or_less"
"392","Crouzet","0.769426349597021",0,0,0,"-0.0211950876270243","2.28953595743886",0,0,9,2,"2421.00000000001",1,1,0,8,314,"F",50,"LREM","6 - PolExp","NoInfo"
"393","Vaucouleurs (de)","1.3006084545613",0,0,0,"0.332190316537696","0.415253786832918",97,0,13,5,"1501.99999999999",1,1,0,85,337,"F",53,"MODEM","1 - 2ndCareer","NoInfo"
"394","Peyron","0.769426349597021",0,0,0,"-0.77231884491501","0.231535444779567",3,0,10,1,"2470.00",4,6,0,15,490,"F",56,"LREM","6 - PolExp","BA_or_less"
"395","Tabarot","-1.90585549680271",0,0,0,"-0.58514008399472","-1.63150811048209",3,1,38,12,"4683.99999999999",14,4,0,2,26,"F",55,"LR","5 - Incumbent","NoInfo"
"396","Nogal","0.769426349597021",3,1,1,"0.0438758122372512","0.261082355702888",55,0,1,1,"5812.99999999999",6,8,0,80,354,"M",27,"LREM","6 - PolExp","AboveMaster"
"397","Clapot","-0.66408821840219",0,0,0,"-0.15829017469766","0.419176846602041",2,1,7,25,"3260.00",5,1,0,16,379,"F",54,"LREM","6 - PolExp","Master"
"398","Robert","-0.66408821840219",0,0,0,"-0.565223377142627","0.874549641966298",4,0,10,4,"3251.99999999999",1,33,0,17,333,"F",55,"LREM","6 - PolExp","NoInfo"
"399","Brotherson","-0.0520881780692474",0,0,0,"-0.37171512934619","-0.873646278516218",11,0,0,3,"289.999999999999",12,7,0,47,93,"M",48,"GDR","6 - PolExp","Master"
"400","Laqhila","0.502901935763704",0,0,0,"0.0164966164785317","0.517509685240027",146,2,6,25,"1964.00",3,1,0,67,196,"M",58,"MODEM","1 - Novices","Master"
"401","Michel","-0.66408821840219",0,0,0,"-0.215203495937268","1.44451932514411",1,1,4,14,"1638.00",2,2,0,6,289,"F",62,"LREM","1 - Novices","Master"
"402","Iborra","-0.66408821840219",1,0,2,"-0.210202575247115","-0.595197094460516",12,1,4,26,"5599.99999999999",7,6,0,25,109,"F",72,"LREM","5 - Incumbent","BA_or_less"
"403","Limon","-0.66408821840219",0,0,0,"-0.201947587250012","1.06401190639004",72,0,2,0,"4089.00000000001",0,1,0,33,332,"F",64,"LREM","1 - 2ndCareer","AboveMaster"
