,"nom.famille","QtG","NewsChannels","RadioTV","Specialized","Interv_Committee","Presence_Committee","Submitted_Amdts","Reports","WrittenQ","Rooms","twitt_flwrs","NationPress","LocPress","OfficialFunctions","Interv_Plenary","NbVotes","Gender","Age","PolGroup","Career","Education"
"467","Henriet","-0.66408821840219",0,0,0,"-0.865972265882437","-0.0429052878452978",0,1,10,16,"2126.00000000001",4,96,0,10,259,"M",26,"LREM","4 - Entourage","AboveMaster"
"468","Morel-À-L'Huissier","0.905082639964564",0,0,2,"-0.478343531164576","-0.338070129305272",107,1,47,0,"3554.00",15,161,0,42,108,"M",59,"LC","5 - Incumbent","Master"
"469","Person","-0.66408821840219",9,3,4,"-0.634606681757869","-1.7085891687734",0,2,0,25,"17600.00",91,29,0,20,253,"M",28,"LREM","6 - PolExp","Master"
"470","Vatin","1.15166669058132",0,0,0,"-0.540401516739625","-0.957583666421617",73,0,27,2,"0.00",2,10,0,36,202,"M",50,"LR","4 - Entourage","BA_or_less"
"471","Bournazel","0.905082639964564",9,7,2,"0.0251006453878967","-0.264452592355562",61,1,32,35,"2200.00",51,39,0,111,206,"M",40,"LC","4 - Entourage","AboveMaster"
"472","Anglade","0.769426349597021",3,0,1,"-0.0989190452923186","0.759534732633835",5,3,10,3,"6652.00000000001",39,11,0,29,210,"M",31,"LREM","4 - Entourage","AboveMaster"
"473","Ali","0.769426349597021",0,0,0,"-0.948862769256421","-2.20299150682038",10,0,8,0,"0.00",11,14,0,9,181,"F",56,"LREM","6 - PolExp","AboveMaster"
"474","Gauvain","0.769426349597021",0,0,2,"0.726153789585563","0.263006144000429",106,4,6,28,"1734.00",14,84,0,268,220,"M",44,"LREM","1 - Novices","Master"
"475","Gérard","-0.66408821840219",0,0,0,"0.27377215550985","0.344802495047665",20,3,20,19,"1909.00000000001",3,90,0,38,368,"M",49,"LREM","1 - Novices","Master"
"476","Schellenberger","0.132492628119974",0,0,1,"0.268001434453608","0.503436653322709",123,0,27,4,"892.999999999996",7,3,0,314,195,"M",27,"LR","4 - Entourage","AboveMaster"
"477","Juanico","-1.52795480651678",2,0,2,"0.791837801597253","1.95102045274708",47,1,54,34,"1299.99999999999",74,144,0,108,104,"M",45,"NG","5 - Incumbent","AboveMaster"
"478","Delatte","-0.886681434341368",0,0,0,"-0.606833186405505","-0.457328294911933",15,1,21,0,"0.00",1,70,0,14,87,"M",61,"LR","5 - Incumbent","BA_or_less"
"479","Rebeyrotte","0.769426349597021",0,0,0,"-0.0940867171829367","1.02436942352098",122,0,37,5,"1165.00",8,190,0,144,460,"M",51,"LREM","1 - LocalRoots","Master"
"480","Ferrand","3.63645548559544",13,15,7,"1.54331218451644","-1.12814973425211",45,1,30,26,"54000.0000000019",395,657,1,435,166,"M",55,"LREM","5 - Incumbent","Master"
"481","Lioger","2.20294091759623",0,0,1,"2.42257870727577","-0.0347337945502736",309,2,0,2,"1904.00",10,15,0,308,397,"M",60,"LREM","6 - PolExp","AboveMaster"
"482","Ramos","0.502901935763704",1,1,4,"-0.0718057875214609","-0.753144445165095",44,0,4,2,"1375.00",7,29,0,100,228,"M",49,"MODEM","1 - 2ndCareer","NoInfo"
"483","Reda","1.15166669058132",5,1,5,"0.17932678507323","-0.177783123090418",110,1,11,9,"9809.00000000001",41,77,0,102,170,"M",26,"LR","4 - Entourage","Master"
"484","Kokouendo","-0.66408821840219",0,0,0,"-0.22943182624717","0.374596738839342",0,2,19,4,"2863.00000000001",8,17,0,7,217,"M",43,"LREM","1 - 2ndCareer","AboveMaster"
"485","Lescure","-0.66408821840219",0,0,0,"3.01544690603917","2.62761155772818",1,0,4,20,"7195.99999999997",22,14,0,88,253,"M",51,"LREM","1 - Novices","AboveMaster"
"486","Grau","-0.66408821840219",0,0,0,"-0.605796801304931","-0.300909011088438",0,2,57,14,"2664.99999999999",9,112,0,16,91,"M",43,"LREM","1 - 2ndCareer","AboveMaster"
"487","Rubin","0.242535625036333",0,0,0,"1.22701294431067","0.0124815382822684",184,0,21,26,"7402.00000000001",9,2,0,224,251,"F",57,"LFI","1 - Novices","NoInfo"
"488","Thillaye","0.769426349597021",0,0,0,"1.210955864198","1.66405020635002",14,1,13,0,"3597.99999999999",2,17,0,30,108,"F",58,"LREM","1 - Novices","BA_or_less"
"489","Houlié","-0.66408821840219",13,2,4,"-0.25665690771363","0.102719137785575",58,3,13,5,"20499.9999999999",94,199,0,467,348,"M",29,"LREM","1 - Novices","Master"
"490","Ahamada","-0.66408821840219",1,0,0,"-0.548177040399055","-0.366382506794716",5,2,7,31,"3117.99999999999",10,5,0,43,204,"M",45,"LREM","6 - PolExp","Master"
"491","Cazebonne","-0.66408821840219",0,0,0,"-0.37171512934619","-1.09654681732971",17,2,19,6,"3080.00000000001",6,3,0,11,104,"F",46,"LREM","1 - Novices","Master"
"492","Marsaud","-0.66408821840219",0,0,0,"0.176527591593043","-0.603709977912328",46,2,9,4,"4087.99999999999",3,45,0,32,385,"F",43,"LREM","6 - PolExp","Master"
"493","Josso","-0.66408821840219",0,0,0,"-0.348234951619528","0.710678007979317",0,0,13,2,"2562.00",2,11,0,6,118,"F",42,"LREM","6 - PolExp","NoInfo"
"494","Le Feur","0.769426349597021",0,0,1,"-0.170850429970208","0.609571239833806",52,0,14,0,"4324.00",9,34,0,18,224,"F",26,"LREM","1 - Novices","BA_or_less"
"495","Mörch","-0.66408821840219",0,0,0,"0.27377215550985","1.00944440857846",26,0,1,14,"2181.00000000001",1,3,0,39,285,"F",56,"LREM","1 - 2ndCareer","Master"
"496","El Haïry","0.502901935763704",0,0,1,"-0.0238372161555816","2.15434707789696",62,2,26,11,"4403.00",4,29,0,117,336,"F",28,"MODEM","6 - PolExp","BA_or_less"
"497","Cazenove","-0.66408821840219",0,0,0,"-0.67190408626978","-0.330549944803435",9,0,33,0,"2368.00000000001",1,75,0,10,179,"M",41,"LREM","1 - 2ndCareer","Master"
"498","Chenu","-0.3659625273557",33,12,8,"-0.742733778090384","-0.73298585100053",86,0,23,6,"10400.00",100,136,0,277,196,"M",44,"NI","4 - Entourage","Master"
"499","Huyghe","0.132492628119974",2,0,3,"-0.500512193509671","-0.578500638627552",88,0,27,0,"19800.0000000001",8,54,0,149,199,"M",48,"LR","5 - Incumbent","Master"
"500","Jumel","0.729234492969466",1,2,8,"1.59111720901003","-0.753144445165095",213,1,19,6,"7529.99999999998",88,311,0,675,349,"M",46,"GDR","1 - LocalRoots","Master"
"501","Leclerc","0.132492628119974",0,0,0,"-0.635753586345183","-0.922182245309759",68,0,48,0,"648.999999999998",3,129,0,33,131,"M",47,"LR","1 - LocalRoots","NoInfo"
"502","Nadot","-0.66408821840219",0,0,0,"-0.457085111205602","-0.338684985363835",17,0,26,1,"5126.00",6,5,0,19,116,"M",45,"LREM","6 - PolExp","AboveMaster"
"503","Mauborgne","0.769426349597021",0,0,0,"-0.392174622043883","0.0516530575516055",4,0,6,0,"2576.99999999999",0,1,0,18,259,"F",45,"LREM","6 - PolExp","BA_or_less"
"504","Letchimy","-0.377027809400244",0,0,0,"-0.100726187461139","-1.72511179599691",50,2,4,11,"5561.99999999998",5,2,0,190,162,"M",64,"NG","5 - Incumbent","AboveMaster"
"505","Gipson","0.769426349597021",0,0,0,"0.213886903242683","0.720207972907044",8,0,49,1,"1269.99999999999",1,22,0,31,314,"F",47,"LREM","6 - PolExp","BA_or_less"
"506","Sylla","-0.66408821840219",0,0,0,"-0.542455093065014","-1.00738660180431",2,0,14,0,"3640.99999999999",3,16,0,18,140,"F",37,"LREM","1 - Novices","AboveMaster"
"507","Krimi","-0.66408821840219",2,2,1,"-0.0871485231481498","0.954138139754424",10,0,3,5,"7288.99999999997",39,42,0,59,153,"F",35,"LREM","1 - Novices","AboveMaster"
"508","Auconie","1.42907785257563",1,0,5,"-0.0525940822039951","0.306250935397273",47,2,38,1,"10099.9999999999",4,40,0,163,245,"F",54,"LC","1 - 2ndCareer","AboveMaster"
"509","Beaudouin-Hubiere","0.769426349597021",0,0,0,"-0.650213786315022","1.31756860660704",7,0,9,8,"2738.00",1,0,0,12,410,"F",45,"LREM","1 - Novices","BA_or_less"
"510","Errante","-2.0976027864014",1,0,1,"-0.368239886903161","-1.30251729563525",0,1,0,9,"5065.00",23,49,0,2,125,"F",46,"LREM","5 - Incumbent","BA_or_less"
"511","Mette","-0.294804583033896",0,0,0,"-0.0370672321425917","0.56634979955793",14,1,11,2,"536.999999999998",3,15,0,35,385,"F",58,"MODEM","1 - LocalRoots","BA_or_less"
"512","Panonacle","0.769426349597021",0,0,0,"-0.274324734265645","-0.0476227531120163",6,1,35,33,"0.00",1,55,0,16,143,"F",49,"LREM","1 - Novices","AboveMaster"
"513","Guerini","0.769426349597021",14,11,5,"2.21180950699241","0.288352450268057",275,5,2,74,"15400.0000000001",105,44,0,388,299,"M",35,"LREM","6 - PolExp","AboveMaster"
"514","Dupont","-0.66408821840219",0,0,0,"-0.323459972866138","0.45203618953375",23,3,3,11,"2471.00",11,21,0,78,349,"F",44,"LREM","1 - LocalRoots","Master"
"515","Buchou","-0.66408821840219",0,0,0,"-0.488664364591906","-0.249836289403039",6,0,8,3,"2488.99999999999",2,81,0,7,367,"M",43,"LREM","4 - Entourage","Master"
"516","Claireaux","-2.0976027864014",0,0,0,"-0.720913884977964","-0.984481332013923",1,0,1,0,"742.000000000001",3,0,0,5,130,"M",53,"LREM","5 - Incumbent","BA_or_less"
"517","Demilly","0.381087427353501",0,0,0,"-0.529027224527946","-1.32478353288606",8,0,43,5,"0.00",13,16,1,21,35,"M",54,"LC","5 - Incumbent","AboveMaster"
"518","Mazars","-0.66408821840219",0,0,0,"-0.426616652359356","0.343149647107855",16,2,7,2,"1895.99999999999",6,114,0,36,270,"M",48,"LREM","1 - 2ndCareer","Master"
"519","Peu","-0.0520881780692474",6,1,7,"2.43314079015785","-0.297998377751558",561,0,34,0,"4932.99999999999",83,76,0,574,458,"M",55,"GDR","1 - LocalRoots","NoInfo"
"520","Testé","2.20294091759623",0,0,0,"0.294494781353346","0.787897104068195",22,0,53,2,"0.00",2,10,0,45,241,"M",49,"LREM","6 - PolExp","BA_or_less"
"521","Trompille","-0.66408821840219",0,0,0,"-0.480151295069352","-0.3416145397163",56,0,8,0,"6096.00000000002",3,37,0,9,90,"M",35,"LREM","6 - PolExp","BA_or_less"
"522","Viry","-0.886681434341368",0,0,1,"0.559009162193162","1.37977508261302",62,2,42,13,"1298.00",3,12,0,209,196,"M",48,"LR","1 - LocalRoots","NoInfo"
"523","Do","-0.66408821840219",0,0,0,"-0.404390386827758","-1.47155509577992",94,1,14,17,"2377.00000000001",3,5,0,27,170,"F",38,"LREM","6 - PolExp","Master"
"524","Kerbarh","0.769426349597021",0,0,0,"-0.377799038561081","1.11510508056136",13,0,12,2,"3545.99999999999",2,18,0,14,183,"F",42,"LREM","6 - PolExp","Master"
"525","Rist","0.769426349597021",0,0,0,"0.128713774605377","0.289415668920099",2,0,14,4,"3658.00000000001",0,1,0,12,234,"F",44,"LREM","1 - Novices","AboveMaster"
"526","Maillard","2.20294091759623",21,9,9,"0.164541604531482","0.461183372346256",69,0,11,56,"14900.00",63,50,0,102,395,"M",43,"LREM","6 - PolExp","AboveMaster"
"527","Waserman","0.502901935763704",0,0,4,"0.0409064496409683","0.508337062127438",108,3,17,1,"1951.00",14,11,1,1142,168,"M",50,"MODEM","1 - 2ndCareer","AboveMaster"
"528","Pinel","-0.3659625273557",0,0,1,"-0.611558777395519","-1.51216868165457",169,0,7,1,"25700.0000000012",21,33,0,61,387,"F",40,"NI","5 - Incumbent","Master"
"529","Charrière","0.769426349597021",0,0,1,"1.30990344768466","0.0124815382822684",20,1,3,16,"2949.00000000001",2,5,0,42,339,"F",56,"LREM","1 - Novices","Master"
"530","Bazin","0.132492628119974",0,0,0,"4.42699202257349","3.74836847186991",553,0,52,3,"1742.00",11,91,0,712,438,"M",33,"LR","4 - Entourage","AboveMaster"
"531","Benoit","0.905082639964564",0,0,1,"1.04162961015614","-0.288290494767269",219,0,23,1,"2616.00000000001",5,97,0,242,313,"M",51,"LC","5 - Incumbent","NoInfo"
"532","Michels","0.769426349597021",0,0,0,"-0.190479197364031","1.37977508261302",5,3,1,23,"3327.99999999999",3,6,0,21,272,"M",57,"LREM","1 - Novices","AboveMaster"
"533","Solère","-1.71489342309075",24,17,2,"-1.0524758984739","-2.47992563745821",0,0,12,3,"27299.9999999995",252,337,0,6,52,"M",46,"LC","5 - Incumbent","Master"
"534","Gassilloud","-0.66408821840219",0,0,0,"-0.147794974750913","-0.302287779989509",3,2,0,0,"2553.99999999999",3,68,0,6,82,"M",36,"LREM","1 - 2ndCareer","Master"
"535","Mesnier","0.769426349597021",0,0,0,"-0.279234397837909","0.920479227479636",33,1,12,43,"6444.00000000001",30,201,0,61,374,"M",31,"LREM","1 - Novices","AboveMaster"
"536","Rudigoz","0.769426349597021",0,0,0,"-0.714809262845585","-0.498357135520125",11,0,14,3,"2492.00000000001",3,70,0,69,303,"M",46,"LREM","4 - Entourage","NoInfo"
"537","Degois","-2.0976027864014",0,0,0,"-0.677861492270428","-0.378141880858985",28,1,45,3,"2275.00",8,3,0,32,213,"F",24,"LREM","1 - Novices","Master"
"538","Bernalicis","0.242535625036333",14,14,6,"2.24101238316703","0.182862640893002",393,0,25,9,"10300.00",89,66,0,702,229,"M",28,"LFI","6 - PolExp","Master"
"539","Faure-Muntian","-0.66408821840219",0,0,0,"-0.708054586194378","-1.17573894552676",9,1,8,0,"1863.00000000001",1,22,0,3,169,"F",33,"LREM","1 - Novices","BA_or_less"
"540","Bazin-Malgras","-0.886681434341368",0,0,0,"-0.36862924563853","0.0124815382822684",191,0,60,1,"1580.00",1,1,0,51,195,"F",48,"LR","6 - PolExp","NoInfo"
"541","Beauvais","1.15166669058132",0,0,0,"-0.34084392988414","-0.35094305754855",76,0,52,0,"1079.00000000001",2,0,0,63,307,"F",54,"LR","4 - Entourage","NoInfo"
"542","Boyer","0.132492628119974",9,5,1,"0.382386377078616","-0.51700541641463",122,0,19,0,"60100.0000000011",25,16,0,167,147,"F",55,"LR","5 - Incumbent","AboveMaster"
"543","Gomez-Bassac","-0.66408821840219",0,0,0,"-0.783081762508452","-0.264452592355562",9,1,12,2,"1844.00000000001",2,5,0,9,221,"F",48,"LREM","1 - Novices","Master"
"544","Lacroute","0.132492628119974",1,0,2,"-0.530891112127292","-1.21753795097632",152,0,49,30,"4540.99999999998",3,4,0,114,207,"F",52,"LR","5 - Incumbent","Master"
"545","Oppelt","0.769426349597021",0,0,0,"-0.657443886299941","-0.330549944803435",6,1,8,5,"4086.00000000001",4,15,0,6,366,"F",44,"LREM","1 - Novices","Master"
"546","Petit","-0.66408821840219",0,0,0,"-0.634255199733421","0.185605859266229",20,1,9,6,"2692.00",5,12,0,10,196,"F",41,"LREM","1 - Novices","AboveMaster"
"547","Rabault","2.50028968339109",9,3,8,"0.275785540554975","-0.00627828041019079",388,2,31,9,"12100.00",90,54,0,667,338,"F",44,"NG","5 - Incumbent","AboveMaster"
"548","Thomas","-0.66408821840219",0,0,0,"-0.528226762755112","0.151696200025849",0,0,5,0,"1325.00",1,0,0,10,390,"F",49,"LREM","1 - 2ndCareer","NoInfo"
"549","Hammerer","-0.66408821840219",0,0,0,"-0.606833186405505","0.514639055919884",10,0,7,2,"3528.00",1,20,0,21,346,"F",49,"LREM","6 - PolExp","Master"
"550","Louwagie","1.15166669058132",0,0,3,"1.28413135640781","1.13950789444966",644,2,47,15,"3005.00",7,139,0,508,291,"F",56,"LR","5 - Incumbent","Master"
"551","Riotton","-0.66408821840219",0,0,0,"-0.281715756001033","0.306250935397273",26,0,8,26,"2856.99999999999",0,0,0,19,230,"F",48,"LREM","1 - Novices","NoInfo"
"552","Bru","-0.294804583033896",0,0,1,"-0.286215124173756","-0.137711371536705",32,2,21,12,"2536.99999999999",6,111,0,37,196,"M",62,"MODEM","1 - LocalRoots","NoInfo"
"553","Descoeur","0.132492628119974",0,0,1,"0.287392917623868","0.407357703542784",491,1,44,3,"1479.00",15,17,0,245,301,"M",55,"LR","5 - Incumbent","Master"
"554","Ledoux","1.42907785257563",0,0,0,"-0.628844705667282","-1.51216868165457",29,2,19,6,"4708.99999999998",5,55,0,59,61,"M",51,"LC","5 - Incumbent","Master"
"555","Rolland","-0.886681434341368",0,0,0,"-0.332089386978563","-0.288290494767269",231,1,28,0,"643.999999999998",2,0,0,58,160,"M",47,"LR","5 - Incumbent","NoInfo"
"556","Thiébaut","-0.66408821840219",0,0,0,"-0.281715756001033","0.457911087615539",28,0,6,1,"2680.99999999999",2,0,0,33,430,"M",45,"LREM","1 - Novices","BA_or_less"
"557","Duby-Muller","1.15166669058132",8,1,5,"-0.0577898579860878","0.898670756323327",31,1,45,2,"12100.00",31,16,0,58,83,"F",38,"LR","5 - Incumbent","AboveMaster"
"558","Batut","-0.66408821840219",0,0,0,"-0.538802410419665","-0.144980741082347",10,0,13,2,"3414.00",3,106,0,6,186,"M",41,"LREM","1 - Novices","NoInfo"
"559","Breton","-1.90585549680271",2,0,4,"-0.426616652359356","0.383221398661569",174,0,22,2,"7385.00000000001",13,94,0,76,143,"M",55,"LR","5 - Incumbent","AboveMaster"
"560","Paluszkiewicz","0.769426349597021",0,0,0,"-0.455985422949653","0.0591952152960864",7,1,34,0,"3167.00000000001",2,13,0,31,260,"M",45,"LREM","6 - PolExp","NoInfo"
"561","Roseren","-0.66408821840219",0,0,0,"-0.519367159946117","-0.2681722632353",47,2,15,16,"1590.00000000001",0,1,0,43,304,"M",47,"LREM","6 - PolExp","Master"
"562","Braun-Pivet","-0.66408821840219",3,3,3,"4.37659352241114","3.58896152295864",53,8,6,27,"11200.00",109,74,0,259,296,"F",47,"LREM","1 - Novices","Master"
"563","Favennec Becot","-0.142907785257563",0,0,0,"-0.0989190452923186","0.208960096458768",10,0,55,1,"8341.00",1,0,0,42,122,"M",59,"LC","5 - Incumbent","BA_or_less"
"564","Haury","-0.66408821840219",0,0,0,"0.0952263525037714","0.306250935397273",7,1,38,3,"1856.00000000001",1,71,0,18,133,"M",63,"LREM","1 - LocalRoots","AboveMaster"
"565","Kerlogot","0.769426349597021",0,0,0,"-0.430797123169018","0.455576147302798",11,1,7,15,"909.000000000004",2,285,0,10,461,"M",47,"LREM","1 - 2ndCareer","Master"
"566","Courson (de)","2.20294091759623",0,0,0,"-0.496055386327295","0.91289154427034",9,0,14,14,"46.9999999999999",0,21,0,3,182,"F",63,"LREM","6 - PolExp","Master"
"567","Blein","0.769426349597021",0,0,2,"-0.686364286239619","-1.13347949549059",6,1,13,13,"3445.99999999998",13,43,0,13,109,"M",63,"LREM","5 - Incumbent","BA_or_less"
"568","Daniel","-0.66408821840219",0,0,0,"-0.548992386526148","0.76819575613688",49,0,17,1,"1693.00",7,228,0,15,132,"M",63,"LREM","5 - Incumbent","BA_or_less"
"569","Park","-0.66408821840219",0,0,0,"-0.34084392988414","-0.148729521257527",5,1,3,11,"1809.00",2,3,0,14,333,"F",32,"LREM","1 - Novices","AboveMaster"
