"","X1201","X1202","X1203","X1204","X1205","X1206","X1207","X1208","X1209","X1210","X1211","X1212","X1213","X1214","X1215","X1217","X1218","X1219","X1220","X1221","X1222","X1223","X1224","X1225","X1226","X1227","X1229","X1230","X1231","X1232","X1233","X1234","X1261","X1262","X1263","X1264"
"1214",0,1,1,1,0,1,0,1,1,1,0,1,1,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"1215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0
"1217",0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1218",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1219",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1220",0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,NA,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"1221",0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,NA,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
"1222",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1223",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1224",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
"1225",0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,NA,0,1,0,0,0,0,0,0,1,1,0,1
"1226",1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,1,0,0,1,0,0,0
"1227",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,NA,0,0,1,1,0,0,1,1,1,0
"1229",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,NA,1,0,1,0,0,1,0,0,0
"1230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,0,1,0,0,0
"1231",0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,1,1,0
"1232",0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,NA,0,0,1,0,0,0
"1233",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,1,0,0,0,1
"1234",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,NA,0,1,0,0
"1261",0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,NA,1,0,0
"1262",0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,NA,0,0
"1263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"1264",0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,NA
