"","X3336","X3401","X3402","X3403","X3404","X3405","X3406","X3407","X3408","X3410","X3411","X3412","X3413","X3414","X3415","X3416","X3417","X3419","X3421","X3423","X3424","X3425","X3426","X3427","X3428","X3429","X3430","X3432","X3433","X3434","X3436","X3461"
"3336",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3401",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3402",0,0,NA,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"3403",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3404",0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3405",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"3406",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3407",0,0,1,1,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"3408",0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3410",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3411",1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"3412",1,0,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"3413",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3414",0,0,1,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3415",0,0,1,0,0,1,0,0,1,0,0,1,0,0,NA,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
"3416",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"3417",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"3423",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,1,0,0,0,0,0,1,0,1,0
"3424",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,NA,0,0,0,0,0,0,0,1,0,1,0
"3425",0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,NA,0,0,0,0,0,1,0,0,0,0
"3426",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,1,0,0,0,0,0,0,1,0
"3427",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0
"3428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0
"3429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"3430",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"3432",0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,0,0,0,0
"3433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,0
"3434",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"3436",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0
"3461",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
