,Elected,Gender,YearBirth,PoliticalParty,TypeofElection,Region,Income2008,Income2009,Income2010,Income2011,Income2012,PoliticalSelfPositioning,PersonalCampaign,CountryofBirth,OccupationalStatus,HighestDiploma,Q1_WomenQuotaCompanies,Q2_RetirementIncrease,Q3_WorkWeekTime,Q4_CompanyChoiceLayoff,Q5_UnemploymentBenefits,Q6_YouthSalary,Q7_PupilsGrade,Q8_StateSchools,Q9_HighSchool2College,Q10_PrivateSchools,Q11_BehaviorGrade,Q12_StateHealthCare,Q13_ChildbirthAllowance,Q14_HelpDisabilities,Q15_ProfitsHealthcare,Q16_UndocumentedHealth,Q17_CapitalTax,Q18_FiscalDeduction,Q19_PrivatizeCompanies,Q20_ParentalLeave.,Q21_SupportRural,Q22_NuclearPowerLess,Q23_DieselTax,Q24_WindPowerLess,Q25_Wolves,Q26_FacilitateAsylum,Q27_LessRefugees,Q28_MunicipalitiesRefugees,Q29_PolicingRefugees,Q30_SwedenEU,Q31_DefenseSpending,Q32_SwedenNATO,Q33_FreeMuseum,Q34_RighttoCopy,Q35_MonitorInternet,Q36_WineSale,Q37_IncomeInequalities,Q38_MoreMarket,Q39_WomenPower,Q40_PunishmentMore,Q41_Multiculti,Q42_ChristianInfluence,Q43_ReturnEducation,Q44_GayRights,Q45_ClimatePriority
208,X,M,1976,ModerateRight (M),R ,Malmö kommun,670565,684332,713552,741680,757835,CenterRight ,Yes ,Sverige,FullTimePolitician ,UniversityLevel ,Against,InFavor,Against,Against,Against,Against,InFavor,InFavor,Against,Against,Against,Against,Against,Against,Against,Against,Against,InFavor,InFavor,Against,Against,InFavor,Against,Against,InFavor,Against,Against,InFavor,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,Against
209,X,M,1977,Peoples Party (F),R ,Stockholms stad och län,641904,535508,662550,674303,685114,CenterRight ,Yes ,Sverige,FullTimePolitician ,UniversityLevel ,Against,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,Against,Against,Against,Against,InFavor,Against,Against,InFavor,Against,InFavor,Against,Against,Against,InFavor,InFavor,InFavor,Against,Against,Against,InFavor,Against,Against,InFavor,InFavor,InFavor,Against,Against,Against,Against,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,Against
210,X,M,1955,Greens (MP),R ,Göteborgs kommun,320589,329021,442938,674068,685502,CenterLeft ,Yes ,Sverige,FullTimePolitician ,UniversityLevel ,InFavor,Against,InFavor,Against,InFavor,Against,Against,Against,InFavor,Against,Against,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,Against,InFavor,Against,InFavor,Against,Against,Against,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,Against,InFavor,InFavor
211,X,F,1975,Peoples Party (F),R ,Hela landet,657997,654711,1259679,1362608,1398640,NeitherLeftnorRight,Yes ,Sverige,FullTimePolitician ,UniversityLevel ,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,Against,Against,Against,Against,InFavor,Against,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,Against,Against,Against,Against,InFavor,InFavor,InFavor,Against,Against,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,InFavor,Against
212,X,M,1973,SocialDemocrats (S),R ,Södermanlands län,687976,687686,634695,749895,854344,CenterLeft ,No,Sverige,FullTimePolitician ,UniversityLevel ,InFavor,Against,Against,Against,InFavor,Against,Against,Against,InFavor,InFavor,Against,Against,InFavor,Against,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,Against,Against,Against,InFavor,Against,Against,Against,Against,Against,InFavor,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor
213,X,M,1970,ChristianDemocrats (KD),R ,Östergötlands län,407257,413092,445976,489159,498454,CenterRight ,Yes ,Sverige,FullTimePolitician ,UniversityLevel ,Against,Against,Against,InFavor,InFavor,InFavor,Against,Against,InFavor,Against,InFavor,InFavor,Against,InFavor,Against,InFavor,Against,InFavor,Against,Against,InFavor,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,Against,Against,InFavor,InFavor,Against,Against,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,Against,InFavor
214,X,F,1956,SocialDemocrats (S),R ,Jönköpings län,678877,687700,704573,723315,727100,CenterLeft ,Yes ,Sverige,FullTimePolitician ,UniversityLevel ,InFavor,Against,InFavor,Against,InFavor,InFavor,Against,InFavor,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,Against,Against,Against,InFavor,Against,Against,Against,Against,Against,InFavor,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor
215,X,M,1976,ModerateRight (M),R ,Västerbottens län,594020,622107,786977,698126,708538,CenterRight ,Yes ,Sverige.,FullTimePolitician ,UniversityLevel ,Against,InFavor,Against,Against,InFavor,Against,InFavor,Against,Against,Against,InFavor,Against,Against,Against,Against,InFavor,Against,InFavor,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,Against,Against,Against,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,Against,InFavor,InFavor,Against
216,X,M,1961,ModerateRight (M),R ,Göteborgs kommun,684339,670934,677641,698665,709266,ClearlyRight,No,Sverige,FullTimePolitician ,UniversityLevel ,Against,InFavor,Against,Against,Against,InFavor,InFavor,Against,Against,Against,Against,Against,Against,Against,Against,InFavor,Against,InFavor,Against,Against,InFavor,InFavor,Against,Against,InFavor,Against,Against,Against,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,Against
217,X,M,1968,Greens (MP),R ,Stockholms län,625631,807372,925373,862541,831299,NeitherLeftnorRight,No,Sverige,FullTimePolitician ,UniversityLevel ,InFavor,Against,InFavor,Against,InFavor,Against,Against,InFavor,Against,InFavor,Against,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,Against,InFavor,Against,InFavor,Against,InFavor,Against,Against,InFavor,InFavor,Against,Against,InFavor,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor
